_id,titleID,movieName,reviewerName,reviewDate,rating,content,genres[0],genres[1],genres[2],genres[3],genres[4],genres[5]
6595b4d3a783f0cdafc9ac36,tt14998742,Rebel Moon - Part One: A Child of Fire,simitchellart,3 January 2024,8,"What you have here is a very strong very good start of a sci fi story, I see many reviews bashing it - but most of them are hitting at the director - because for some reason they don't like him.......it's not the movie - it's their distain for the director - I guess (apart from mine) if the review focuses on the director - ignore it!\nThe reviews who focus on the story or the movie as a whole are very positive!!!!!! - so my advice - if you can understand this is the first half of a story and you don't wanna........for some reason hit at the director\nWatch it - you will enjoy it\nIt's like dune mixed with seven samurai a sprinkling of star wars and king arther - if you like that stuff......\nI watched it and loved it - I can't wait for the second half!\nRemember if the review is bashing the director - however subtle - it's just their hate for him - not the movie!",6595b2dda783f0cdafc98b3d,6595b2dda783f0cdafc98b3e,6595b2dda783f0cdafc98b44,6595b2dda783f0cdafc98b46,6595b2dda783f0cdafc98b4e,
6595b4d4a783f0cdafc9ac37,tt14998742,Rebel Moon - Part One: A Child of Fire,krbodkin,3 January 2024,1,"As a photographer. The first thing I noticed was the radial blur filter laid over half the scenes. Things at the top and bottom of the screen are blurred out for no reason other than to draw attention to what they want you looking at. I couldn't even make it an hour into the film.\nThe battle scenes, while decently choreographed, were almost entirely bloodless. Stab someone? No blood. No hole. Shoot someone? No blood. No hole.\nGravity doesn't seem to exist. With a gas giant as your neighbor in the night sky you'd think that would effect all sorts of things including the physiology of the people, animals, plants, and tides.\nI can't understand how someone could proof read this script and give it a seal of approval.",6595b2dda783f0cdafc98b3d,6595b2dda783f0cdafc98b3e,6595b2dda783f0cdafc98b44,6595b2dda783f0cdafc98b46,6595b2dda783f0cdafc98b4e,
6595b4d4a783f0cdafc9ac38,tt14998742,Rebel Moon - Part One: A Child of Fire,designs-52603,3 January 2024,1,"Honestly, one of the worst films I've sat through in recent memory, If I hadn't been watching it with family, I'd have turned it off after 20 minutes. After the really bad opening exposition, we're greeted with some really good imagery that is ruined by the horrible creature design of just a Clydesdale horse with a piece of driftwood stuck to its head. But wait, it gets worse once the humans start acting.\nNo amount of Lens flare can hide the poor writing and bad acting of this movie, though Mr Snyder sure does try. It's almost like someone is making fun of him. The mishmash of cool imagery and stupid imagery just left me feeling confused; why are some shots really great, and others really bad and confusing? Why are some aliens cool, but some are just a horse with driftwood on its head?!\nThe writing is bad, the pacing is off, and the characters are so flat they disappear when turned sideways. Not even so-bad-it's-good, just plain bad.",6595b2dda783f0cdafc98b3d,6595b2dda783f0cdafc98b3e,6595b2dda783f0cdafc98b44,6595b2dda783f0cdafc98b46,6595b2dda783f0cdafc98b4e,
6595b4d4a783f0cdafc9ac39,tt14998742,Rebel Moon - Part One: A Child of Fire,matthewialdous,3 January 2024,5,"Overall, the VFX are excellent, especially some of the 3d character performances which are surprisingly good. The costuming and practical sets are excellent. The casting is perfectly good, the acting is good considering the appalling dialogue and story. Unfortunately the whole effort is spoiled by a complete lack of effort on the part of the writers. The ""recruitment story"" is soo completely contrived. ( dues ex machina?? ) the characters are brutally shoe-horned into the story with almost no effort to weave them in organically. I hate to be mean, but it feels like a 15 year old boy wrote the story and dialogue (and noone proof read it for him). Looking back on Jack Snyder's writing credits before this, there is a predicable string of woefully scripted movies (in terms of dialog), wonder woman, 300, justice league etc... Its a real shame if he had employed some skilled writers it could have been a really great sci-fi film. Such a shame, Jack u need to let go of writing, its just not your thing !!",6595b2dda783f0cdafc98b3d,6595b2dda783f0cdafc98b3e,6595b2dda783f0cdafc98b44,6595b2dda783f0cdafc98b46,6595b2dda783f0cdafc98b4e,
6595b4d4a783f0cdafc9ac3a,tt14998742,Rebel Moon - Part One: A Child of Fire,christophblak,3 January 2024,3,"It's like Zack Snyder watched Battlefield Earth, and said hey I can make a sci-fi epic worse than that. If you grew up watching the kind of movies that eventually got turned into MST3K episodes, you might be able to finish it. Honestly if the Walking Dead had continued at it's same steady decline in quality this is like what season 38 would be. It is that bad.\nThose people who give it positive reviews are the people who dug their heels in arguing that Zack Snyder is a director who knows what he's doing. And after all those years they can't admit that they were wrong.\nThere is going to be a director's cut that fills in the major holes in the plot and story, but the damage is done. Watching it with vital information cut out of it for no reason, make it a confusing, jumbled mess of 1/2 ideas with poor execution. Not many will go back and watch what might be a comprehensible film when the longer cut is inevitably released.",6595b2dda783f0cdafc98b3d,6595b2dda783f0cdafc98b3e,6595b2dda783f0cdafc98b44,6595b2dda783f0cdafc98b46,6595b2dda783f0cdafc98b4e,
6595b4d4a783f0cdafc9ac3b,tt14998742,Rebel Moon - Part One: A Child of Fire,devanwillis,3 January 2024,1,"I'll start with this: after you watch the teasers for this movie, lower your expectations. And then lower them some more.\nI had high hopes for this movie given Zack Snyder's track record with action and superhero films but this one is out of his grasp. Just like the Star Wars franchise falls from grace, so does this strange ensemble of scenes that were slapped together to make this a so-called movie. At first glance, the casting is appealing but I'm not sure this movie did anyone any favors (aside from pushing them to get ripped so they at least look good on screen). The story and movie itself lacked depth and was overall just weak. It's almost like they sat in a room and said ""so we've done 50 shades of Star Wars, Divergent, Game of Thrones, The Avengers, but what if we try to combine themes from each series and then pepper in some Fifth Element vibes?!"" Also, the fight sequences were terrible. Don't get me wrong, I know it's all fiction, but the reaction time during fight scenes was so unbelievable and the major fight scenes were all borrowed from other movies.\nI'm sure there is certain pressure to bring ""the next best thing"" to our screens when it comes to sci-fi/fantasy film and space opera but this ain't it. And it certainly doesn't make me eager to watch part 2. Zack Snyder needs to take a seat, sit back, and chill on this one.\nConclusion: go watch Dune. It has substance and depth, superior casting, better acting, and fantastic cinematography.",6595b2dda783f0cdafc98b3d,6595b2dda783f0cdafc98b3e,6595b2dda783f0cdafc98b44,6595b2dda783f0cdafc98b46,6595b2dda783f0cdafc98b4e,
6595b4d4a783f0cdafc9ac3c,tt14998742,Rebel Moon - Part One: A Child of Fire,frandesimoni-165-227778,3 January 2024,7,"Great movie! Takes a lot of work and courage to bring a new Sci Fi hit.\nGreat villains, great heroes, and I can't wait to see the next one!\nIt reminds me of other movies like Star Wars, Avatar, Hunger Games, and superhero movies.\nI think it's not an amazing movie, the universe has potential and no doubt it's entertaining.\nI would have invested more time in the characters stories, but i think it's ok.\nAs said in the title, I dont understand the criteria to review this movie vs other ones from Marvel for example (which I love by the way) which have a much better score, and they are similar products.\nThe difference is that marvel is more popular, and this movie is bringing a whole new story.\nEmbrace new projects, new stories!",6595b2dda783f0cdafc98b3d,6595b2dda783f0cdafc98b3e,6595b2dda783f0cdafc98b44,6595b2dda783f0cdafc98b46,6595b2dda783f0cdafc98b4e,
6595b4d4a783f0cdafc9ac3d,tt14998742,Rebel Moon - Part One: A Child of Fire,arnd-mueller,2 January 2024,1,"Magnificent 7, Star Wars, Matrix and Teletubbies. What were they thinking? Is no one in Hollywood\nreading these childish scripts anymore? Those useless slow motion shots made film longer than it should be. Every TikTok and YouTuber have better cinematography than the crew who was responsible for this movie.\nI mean Special Effects from the 70s, enemy's in old Nazi uniforms???? I really wanted to like this movie but after watching it for an hour I had to turn it off.\nI'm glad that Disney hasn't used the script for an Star Wars movie because compared to this the Ryan Johnson has Oscar potential. Sequel? Directors cut? PLEASE NO!",6595b2dda783f0cdafc98b3d,6595b2dda783f0cdafc98b3e,6595b2dda783f0cdafc98b44,6595b2dda783f0cdafc98b46,6595b2dda783f0cdafc98b4e,
6595b4d4a783f0cdafc9ac3e,tt14998742,Rebel Moon - Part One: A Child of Fire,aasbakk,2 January 2024,2,"This is truly amazingly bad.\nI rate it 2 stars. One star for visuals and one for audio. Both are good to a certain point.\nWhere should I start with what's the bad? (There aren't any more good)\nOh, that could be a long list.\nThe plot, the acting, the screenplay is terrible\nAnd who the hell decided it was a good idea to use Anthony Hopkins voice for a robot??? I love Anthony Hopkins, and his voice, but it's as far from an artificial voice as it gets.\nFurther more is the extremely exaggerated use of slow motion. Ohhh myyyy g......... 💤\nSeems like they watched the movie ""300"" and decided; ""Hey! Slo-mo is cool! Let's use it to extend the movie length"".\nAnd the film feels slow motion from start til end.\nThe characters are boring, and it seems to me that the actors share this opinion. I can't find anything that resembles of great acting here. Sorry to say.\nThis is in fact some of the worst I've seen in quite a while.\nAnything else is known from other movies. And they haven't even tried to hide the plagiarism.\nOne could start with Star Wars, Lord Of The Rings, 300, and several great movies, cooked up in a soup of anorectic nonsense\nThe story is a mess yet predictable and boring.\nI think I'll just stop my review here.\nWOW!!! This is a bad movie.",6595b2dda783f0cdafc98b3d,6595b2dda783f0cdafc98b3e,6595b2dda783f0cdafc98b44,6595b2dda783f0cdafc98b46,6595b2dda783f0cdafc98b4e,
6595b4d4a783f0cdafc9ac3f,tt14998742,Rebel Moon - Part One: A Child of Fire,benakaneb,2 January 2024,3,"I am a life long sci-go fan. From the masterpiece of 2001, to Gattica, Minority Report, Interstella, A. I, Automata, series like Peripheral captivated me. I have a tattoo that's an ode to Blade Runner, and my wife is also a huge sci-fi fan. We love to watch these works, and pause to discuss our observations, opinions and insights.\nWe TRIED to watch Rebel Moon. It's just... awful. We've all seen this film already, so formulaic it is.\nWe didn't pause once to talk, and after 20 minutes we both agree to stop. The only thing it's got it the spectacle of effects with mediocre acting. What is this is a film contributing to the art? I don't know. Might as well be written and created by ChatGPT.",6595b2dda783f0cdafc98b3d,6595b2dda783f0cdafc98b3e,6595b2dda783f0cdafc98b44,6595b2dda783f0cdafc98b46,6595b2dda783f0cdafc98b4e,
